,text
42,"Benar, Ini Yang Lebih Utama

Meminta parlemen yang sedang membahas RKUHP untuk mengeluarkan pasal penodaan agama dari draft yang sudah ada. https://twitter.com/tempodotco/status/1163652929452007424 …"
43,"#JogjaPers (via pkbidiy): https://twitter.com/pkbidiy/status/1163664701466660864 … Ancaman pembatasan hak karena pengesahan RKUHP.

“Pasal ini mengabaikan hak-hak berekspresi, hak bekerja di mana tidak didefinisikan penggelandangan yang dimaksud itu seperti apa.""

suarapkbi 
LBHYogya 
… http://polipreneur.com/baca-1061-ketakutan-akan-hak-pada-hari-kemerdekaan-indonesia …pic.twitter.com/Rs75k8sUSJ"
44,"Ancaman pembatasan hak karena pengesahan RKUHP.

“Pasal ini mengabaikan hak-hak berekspresi, hak bekerja di mana tidak didefinisikan penggelandangan yang dimaksud itu seperti apa.""

@suarapkbi
@LBHYogya
@info_samsara
@DPR_RI
#TolakRKUHP
http://polipreneur.com/baca-1061-ketakutan-akan-hak-pada-hari-kemerdekaan-indonesia …"
45,"RKUHP nya bang. Bukan uji materil.
Ngapain uji materil kalo RKUHP sementara dalam perampungan pembahasan?"
46,RKUHP Melanggengkan Intoleransi dan Merusak Kerukunan Antar Umat Beragama http://dlvr.it/RBTDdr pic.twitter.com/ADAohCtmLn
47,"Masih Berfilosofi Kolonial, Diharapkan RKUHP Tidak Buru-Buru Disahkan http://dlvr.it/RBSmvL pic.twitter.com/qrJUpY5CSi"
48,"Wahahaha, kamu spoiler :) Ini salah satunya. Ada detil2 lain lagi yang menurutku bisa gawat karena bisa berdampak ke revisi rkuhp "
49,"Pengesahan RKUHP, Setidaknya Dapat Dipertimbangkan Ulang - http://www.menaranews.com/2019/08/pengesahan-rkuhp-setidaknya-dapat-dipertimbangkan-ulang/ …"
50,HALO UDAH 17 AGUSTUS NIH. MANA PENGESAHAN RKUHP? GAK BOSEN PAKE UNDANG-UNDANG SISA KOLONIAL MULU? @ DPR.
51,Asalkan RKUHP tidak memarginalkan yang terpinggirkan. Karena yang terpinggirkan juga masyarakat kita. #DirgahayuRIhttps://twitter.com/detikcom/status/1162180422278811649 …
52,"RKUHP yang diajukan oleh Pemerintahan Presiden Jokowi masih jauh dari perlindungan kepentingan rakyat dan memiliki potensi pelanggaran hak asasi manusia yang besar

https://buff.ly/2KMCtjw "
53,"kalo RKUHP disahkan, @ArieMacCa masuk penjara."
54,"""Olehnya, saya meminta parlemen kita, yang sedang membahas RKUHP, untuk mengeluarkan pasal-pasal penodaan agama dari draft yang ada."" - Gomar Gultom, Persekutuan Gereja Indonesia

Ga setuju UAS dipidana gara, tapi minta UU penodaan agama dihapus. YHAAAAAAampun, pak~ https://twitter.com/tempodotco/status/1163629408529395713 …"
55,"#JogjaPers (via pkbidiy): https://twitter.com/pkbidiy/status/1163730896001781760 … RT ICJRid: Filosofi kolonial di dalam RKUHP masih sangat kental, secara mudah nampak di dalam beberapa pasal hasil duplikasi besar-besaran dari KUHP yang saat ini berlaku

https://kbr.id/nasional/08-2019/icjr__rkuhp_masih_berisi_hukum_penjajah/100217.html …pic.twitter.com/LLEmrvXYKL"
56,"#JogjaPers (via pkbidiy): https://twitter.com/pkbidiy/status/1163725647291699200 … Tau gak sih kalo salah satu pasal dalam RKUHP isinya mengancam kebebasan seseorang untuk mengakses informasi kesehatan reproduksi?

DPR_RI
suarapkbi 

#TolakRKUHPpic.twitter.com/j7fEFej4p1"
57,"RKUHP yang seharusnya hadir dengan nuansa penghormatan Hak Asasi Manusia termasuk melindungi kelompok rentan seperti kelompok minoritas seksual, pengguna dan pecandu narkotika, pekerja seks

http://icjr.or.id/penanggulangan-hivaids-di-indonesia-dalam-ancaman-rkuhp/ …pic.twitter.com/QUyqazSiZw"
58,"Benar, Ini Yang Lebih Utama

Meminta parlemen yang sedang membahas RKUHP untuk mengeluarkan pasal penodaan agama dari draft yang sudah ada. https://twitter.com/tempodotco/status/1163652929452007424 …"
59,"#JogjaPers (via pkbidiy): https://twitter.com/pkbidiy/status/1163664701466660864 … Ancaman pembatasan hak karena pengesahan RKUHP.

“Pasal ini mengabaikan hak-hak berekspresi, hak bekerja di mana tidak didefinisikan penggelandangan yang dimaksud itu seperti apa.""

suarapkbi 
LBHYogya 
… http://polipreneur.com/baca-1061-ketakutan-akan-hak-pada-hari-kemerdekaan-indonesia …pic.twitter.com/Rs75k8sUSJ"
60,"Ancaman pembatasan hak karena pengesahan RKUHP.

“Pasal ini mengabaikan hak-hak berekspresi, hak bekerja di mana tidak didefinisikan penggelandangan yang dimaksud itu seperti apa.""

@suarapkbi
@LBHYogya
@info_samsara
@DPR_RI
#TolakRKUHP
http://polipreneur.com/baca-1061-ketakutan-akan-hak-pada-hari-kemerdekaan-indonesia …"
61,"RKUHP nya bang. Bukan uji materil.
Ngapain uji materil kalo RKUHP sementara dalam perampungan pembahasan?"
62,RKUHP Melanggengkan Intoleransi dan Merusak Kerukunan Antar Umat Beragama http://dlvr.it/RBTDdr pic.twitter.com/ADAohCtmLn
63,"Masih Berfilosofi Kolonial, Diharapkan RKUHP Tidak Buru-Buru Disahkan http://dlvr.it/RBSmvL pic.twitter.com/qrJUpY5CSi"
64,"Wahahaha, kamu spoiler :) Ini salah satunya. Ada detil2 lain lagi yang menurutku bisa gawat karena bisa berdampak ke revisi rkuhp "
65,"Pengesahan RKUHP, Setidaknya Dapat Dipertimbangkan Ulang - http://www.menaranews.com/2019/08/pengesahan-rkuhp-setidaknya-dapat-dipertimbangkan-ulang/ …"
66,HALO UDAH 17 AGUSTUS NIH. MANA PENGESAHAN RKUHP? GAK BOSEN PAKE UNDANG-UNDANG SISA KOLONIAL MULU? @ DPR.
67,Asalkan RKUHP tidak memarginalkan yang terpinggirkan. Karena yang terpinggirkan juga masyarakat kita. #DirgahayuRIhttps://twitter.com/detikcom/status/1162180422278811649 …
68,"RKUHP yang diajukan oleh Pemerintahan Presiden Jokowi masih jauh dari perlindungan kepentingan rakyat dan memiliki potensi pelanggaran hak asasi manusia yang besar

https://buff.ly/2KMCtjw "
69,"kalo RKUHP disahkan, @ArieMacCa masuk penjara."
70,"Peneliti @ICJRid mengatakan masih banyak pasal bermasalah dalam draf revisi KUHP. 

Apa yang ia rekomendasikan?

Mengapa pemerintah justru menginginkan RKUHP segera disahkan?

Bisa Anda dengarkan di #Buletinpagi yang sdh kami   sajikan di #KBRPrime
http://bit.ly/2ZcysOo pic.twitter.com/Hbo9lFO7iw"
71,RKUHP Melanggengkan Intoleransi dan Merusak Kerukunan Antarumat Beragama | http://ProJustisiaNews.id https://projustisianews.id/rkuhp-melanggengkan-intoleransi-dan-merusak-kerukunan-antarumat-beragama/ …
72,Stuju tolak rkuhp ngawur https://twitter.com/KabarSEJUK/status/1162198715320303618 …
73,"Filosofi kolonial di dalam RKUHP masih sangat kental, secara mudah nampak di dalam beberapa pasal hasil duplikasi besar-besaran dari KUHP yang saat ini berlaku

https://kbr.id/nasional/08-2019/icjr__rkuhp_masih_berisi_hukum_penjajah/100217.html …"
74,"ICJR: RKUHP Masih Berisi Hukum Penjajah http://bit.ly/2ZgXyvX   

""RKUHP hidupkan kembali pasal penghinaan presiden yang telah dinyatakan MK  sebagai pasal yang inkonstitusional dan menimbulkan ketidakpastian hukum."" papar Direktur @ICJRid Anggarapic.twitter.com/jfgsKurRFS"
75,"LSM Ingatkan RKUHP Tak Buru-Buru Disahkan

Ada potensi masalah yang mempengaruhi kerja pemerintah. #ValidNihhttps://www.validnews.id/LSM-Ingatkan-RKUHP-Tak-Buru-Buru-Disahkan-Rff …"
76,"Setujui RKUHP Disahkan, Jokowi Abaikan Penanggulangan HIV-AIDS http://rumahcemara.or.id/setujui-rkuhp-disahkan-jokowi-abaikan-penanggulangan-hiv-aids/ … via @Rumah Cemara"
77,RKUHP Berharap Rasa Baru Tapi Bergaya Kolonial http://www.gresnews.com/berita/isu_terkini/116939-rkuhp-berharap-rasa-baru-tapi-bergaya-kolonial/ …
78,"seharusnya Presiden tidak begitu saja mengamini bahwa pembahasan RKUHP telah rampung dan segera disahkan, ada banyak hal yang akan berdampak pada kerja-kerja pemerintah, salah satunya penanggulangan HIV/AIDS.

http://sejuk.org/2019/08/15/jokowi-abai-terhadap-penanggulangan-hiv-aids-jika-rkuhp-buru-buru-disahkan/ …"
79,"Pemerintah dan DPR tidak terburu-buru mengesahkan RKUHP, karena RKUHP masih memiliki banyak permasalahan

http://sejuk.org/2019/05/05/dpr-jangan-buru-buru-sahkan-rkuhp/ …"
80,"Tokoh Lintas Agama: Tunda Pengesahan RKUHP!

http://sejuk.org/2018/03/27/tokoh-lintas-agama-tunda-pengesahan-rkuhp/ …"
81,"Seperti apa tanggapan LSM terhadap RKUHP yang dinilai justru mempertebal stigma terhadap ODHA dan pecandu narkoba? 
https://www.validnews.id/LSM-Ingatkan-RKUHP-Tak-Buru-Buru-Disahkan-Rff …"
82,"Di RKUHP, Masih Banyak Pasal Problematik http://dlvr.it/RBJwhy pic.twitter.com/m2koNUCxj0"
83,"Setujui RKUHP Disahkan, Jokowi Abaikan Penanggulangan HIV-AIDS http://rumahcemara.or.id/setujui-rkuhp-disahkan-jokowi-abaikan-penanggulangan-hiv-aids/ … via @RumahCemara  cc @jokowi @mohmahfudmd"
84,"Kayaknya karena ini semua di support ayat2 dalam kitab suci, maka RKUHP ini bakalan disupport sama masyarakat ya semua poin nya. Yg terakhir yang paling mungkin gak akan gol sih"
85,"RKUHP anti Kolonial???

Ah yang bener???  pic.twitter.com/fqaXnraZtR"
